Date,Venue,Opponent,Goals For,Goals Against,Expected Goals (xG),Expected Goals Against (xGA),Possession,Key Passes,Passes into Penalty Area,Crosses into Penalty Area,Interceptions,Clearances,Errors,Home Venue,Clean Sheets,Goal Difference,Result,Result_Code,Opponent_Code,Goals For_Rolling_5,Goals Against_Rolling_5,Goal Difference_Rolling_5,Possession_Rolling_5,Expected Goals (xG)_Rolling_5,Expected Goals Against (xGA)_Rolling_5,Interceptions_Rolling_5,Clearances_Rolling_5,Errors_Rolling_5,Days Since Last Match
2018-12-08,Away,Bournemouth,4,0,1.6,0.3,59,6,11,1,7,21,0,0,1,4,Win,1,1,2.6,0.2,2.4,64.8,1.9799999999999998,0.64,8.2,18.8,0.0,3.0
2018-12-16,Home,Manchester Utd,3,1,2.5,0.7,64,21,10,0,4,8,1,1,0,2,Win,1,12,2.8,0.4,2.4,63.4,2.12,0.6799999999999999,7.4,17.4,0.2,8.0
2018-12-21,Away,Wolves,2,0,1.9,0.9,61,12,11,0,5,19,3,0,1,2,Win,1,18,2.6,0.4,2.2,63.0,2.26,0.78,5.8,16.6,0.8,5.0
2018-12-26,Home,Newcastle Utd,4,0,2.9,0.5,74,11,22,1,9,14,1,1,1,4,Win,1,13,3.2,0.4,2.8,66.2,2.26,0.6599999999999999,6.2,15.6,1.0,5.0
2018-12-29,Home,Arsenal,5,1,3.8,1.0,48,8,14,1,8,15,2,1,0,4,Win,1,0,3.6,0.4,3.2,61.2,2.54,0.6799999999999999,6.6,15.4,1.4,3.0
2019-01-03,Away,Manchester City,1,2,1.5,1.1,51,4,10,3,10,21,1,0,0,-1,Loss,-1,11,3.0,0.8,2.2,59.6,2.5199999999999996,0.8399999999999999,7.2,15.4,1.6,5.0
2019-01-12,Away,Brighton,1,0,2.0,0.4,70,9,17,3,6,15,0,0,1,1,Win,1,2,2.6,0.6,2.0,60.8,2.4199999999999995,0.78,7.6,16.8,1.4,9.0
2019-01-19,Home,Crystal Palace,4,3,2.6,0.7,70,16,24,3,3,18,0,1,0,1,Win,1,6,3.0,1.2,1.8,62.6,2.56,0.74,7.2,16.6,0.8,7.0
2019-01-30,Home,Leicester City,1,1,0.6,1.1,72,7,16,2,14,16,1,1,0,0,Draw,0,10,2.4,1.4,1.0,62.2,2.1,0.8600000000000001,8.2,17.0,0.8,11.0
2019-02-04,Away,West Ham,1,1,1.1,0.8,73,9,6,0,3,21,0,0,0,0,Draw,0,17,1.6,1.4,0.2,67.2,1.56,0.8200000000000001,7.2,18.2,0.4,5.0
2019-02-09,Home,Bournemouth,3,0,2.0,0.4,65,17,19,2,10,24,0,1,1,3,Win,1,1,2.0,1.0,1.0,70.0,1.6600000000000001,0.68,7.2,18.8,0.2,5.0
2019-02-24,Away,Manchester Utd,0,0,0.5,0.3,64,6,9,0,5,9,0,0,1,0,Draw,0,12,1.8,1.0,0.8,68.8,1.36,0.66,7.0,17.6,0.2,15.0
2019-02-27,Home,Watford,5,0,1.9,0.3,62,9,18,4,10,18,0,1,1,5,Win,1,16,2.0,0.4,1.6,67.2,1.2200000000000002,0.5800000000000001,8.4,17.6,0.2,3.0
2019-03-03,Away,Everton,0,0,1.1,0.3,57,8,9,4,13,34,0,0,1,0,Draw,0,7,1.8,0.2,1.6,64.2,1.3199999999999998,0.42000000000000004,8.2,21.2,0.0,4.0
2019-03-10,Home,Burnley,4,2,4.0,0.4,67,18,15,2,7,13,0,1,0,2,Win,1,3,2.4,0.4,2.0,63.0,1.9,0.33999999999999997,9.0,19.6,0.0,7.0
2019-03-17,Away,Fulham,2,1,2.6,1.1,62,11,12,2,9,5,2,0,0,1,Win,1,8,2.2,0.6,1.6,62.4,2.02,0.48,8.8,15.8,0.4,7.0
2019-03-31,Home,Tottenham,2,1,1.0,0.7,48,12,9,3,8,20,1,1,0,1,Win,1,15,2.6,0.8,1.8,59.2,2.12,0.5599999999999999,9.4,18.0,0.6,14.0
2019-04-05,Away,Southampton,3,1,1.9,0.9,67,12,17,5,9,18,0,0,0,2,Win,1,14,2.2,1.0,1.2,60.2,2.12,0.68,9.2,18.0,0.6,5.0
2019-04-14,Home,Chelsea,2,0,1.2,0.7,62,14,18,3,13,13,0,1,1,2,Win,1,5,2.6,1.0,1.6,61.2,2.1399999999999997,0.76,9.2,13.8,0.6,9.0
2019-04-21,Away,Cardiff City,2,0,3.0,1.1,75,14,13,2,8,18,0,0,1,2,Win,1,4,2.2,0.6,1.6,62.8,1.94,0.9,9.4,14.8,0.6,7.0
2019-04-26,Home,Huddersfield,5,0,3.1,0.2,69,18,13,2,11,12,0,1,1,5,Win,1,9,2.8,0.4,2.4,64.2,2.04,0.72,9.8,16.2,0.2,5.0
2019-05-04,Away,Newcastle Utd,3,2,1.2,1.4,69,11,13,3,4,22,0,0,0,1,Win,1,13,3.0,0.6,2.4,68.4,2.08,0.86,9.0,16.6,0.0,8.0
2019-05-12,Home,Wolves,2,0,1.6,1.3,59,7,9,2,9,16,0,1,1,2,Win,1,18,2.8,0.4,2.4,66.8,2.02,0.9399999999999998,9.0,16.2,0.0,8.0
